sub,ses,task,acq,run,fd-per,fd-mean,fd-std,fd-max,fd-min,dvars-per,dvars-mean,dvars-std,dvars-max,dvars-min,std_dvars-per,std_dvars-mean,std_dvars-std,std_dvars-max,std_dvars-min
001,0000,rest,,,2.7559055118110236,0.1085946825461922,0.23399330935191806,3.28673391,0.012537899000000005,99.60629921259843,17.992352557312255,13.035682452568802,186.971146,14.110591000000001,3.937007874015748,0.9996842292490122,0.7242836540675206,10.388420000000002,0.784007
002,0000,rest,,,1.968503937007874,0.11848589509069506,0.11207043952327775,0.9781137000000002,0.028259199999999925,99.60629921259843,20.01060701976284,13.803408734802733,224.52613799999997,14.170318000000005,3.937007874015748,1.045662268774703,0.7213026336032552,11.732703,0.740476
002,0000,task2,,,5.737704918032787,0.23056390025802462,0.5761493840413213,5.9049484,0.0227873,99.59016393442623,25.697483666666653,33.28060977183038,411.126404,12.874949,6.967213114754099,0.8390160905349789,1.0866032033858257,13.423169,0.420364
002,0000,task1,,,6.967213114754099,0.20579304696748968,0.4709262648130603,5.107734099999999,0.01716166999999998,99.59016393442623,23.738287074074083,28.422943612860777,401.275757,13.216845999999999,7.377049180327869,0.8808801399176945,1.0547183149720365,14.890537,0.490451
003,0000,task1,,,0.0,0.08945480091193414,0.04671669742393736,0.3457380273,0.014794,99.59016393442623,17.957261444444445,28.69895014505624,455.495056,13.121901999999999,1.639344262295082,1.0826423209876537,1.7302581998273838,27.461772999999997,0.7911189999999999
003,0000,rest,,,0.0,0.09248641392055339,0.04007726487922982,0.224578985,0.01829854999999995,99.60629921259843,16.34175499209486,13.966093339778151,235.15104700000003,12.507336,0.7874015748031497,0.9829726126482216,0.8400742733084182,14.144567000000002,0.752329
003,0000,task2,,,0.4098360655737705,0.09755691266255143,0.07888267228212226,1.02306185,0.02415848000000004,99.59016393442623,17.801653683127572,27.783844424530518,438.735107,11.943375999999999,2.459016393442623,0.9804124485596707,1.530173955048267,24.163,0.657772
030,0000,task1,,,12.295081967213115,0.3442916098477367,0.37023869333089543,4.286007499999998,0.06587851500000001,99.59016393442623,29.42435912757202,30.19760273758921,461.133728,15.57058,6.557377049180328,1.005803777777778,1.0322353379737759,15.762792000000001,0.5322439999999999
030,0000,task2,,,13.114754098360656,0.33883488697119357,0.2987239964602961,2.24153528,0.05150424999999999,99.59016393442623,29.090582061728412,31.410370918516207,461.85415599999993,14.835299,9.01639344262295,0.9980038971193416,1.0775884229663215,15.844725,0.508951
030,0000,rest,,,7.086614173228346,0.26354165065454555,0.16936264982199245,1.2348253999999999,0.056260199999999996,99.60629921259843,29.581717893280643,27.085885699205537,436.188385,18.873131,4.330708661417323,1.0572091739130431,0.9680115507154394,15.588760999999998,0.674499
004,0000,task1,,,0.4098360655737705,0.12416465981481474,0.06554606586484521,0.6365494999999999,0.03510000000000005,99.59016393442623,19.152460695473252,27.047590445493242,434.79727199999996,14.490441,1.639344262295082,0.9542454362139912,1.347609548669816,21.663185000000002,0.721967
004,0000,task2,,,1.2295081967213115,0.12613423444609054,0.12319015477421823,1.63495685,0.02647702799999997,99.59016393442623,20.114083596707818,27.24613711876095,432.58056600000003,14.781128,2.8688524590163933,1.0554831399176956,1.4297364962438737,22.699593,0.775637
004,0000,rest,,,3.1496062992125986,0.19808263765217402,0.16019900473106943,1.29031032,0.03711858000000005,99.60629921259843,22.332990525691695,26.746279959927005,425.900909,15.711681,4.724409448818897,0.88780033201581,1.0632411763388283,16.930779999999995,0.624584
005,0000,task1,,,0.819672131147541,0.09347389502057607,0.06310530130855807,0.759277805,0.02160580000000005,99.59016393442623,18.036740880658446,20.109719352790794,327.756165,13.984648000000005,0.819672131147541,0.9985011316872431,1.1132597478714703,18.144348,0.7741799999999999
005,0000,rest,,,0.0,0.09070469686086956,0.042179288035324176,0.25957606520000004,0.0136046999999999,99.60629921259843,18.315366695652177,19.70194253526078,327.882202,13.310346,0.7874015748031497,0.9319994308300396,1.0025569668814491,16.684679,0.677313
005,0000,task2,,,4.098360655737705,0.13193293719341553,0.1898284146595351,1.900631945,0.018679949999999983,99.59016393442623,20.7417006090535,21.76661479806067,327.76059,13.873382999999999,6.147540983606557,1.07545341563786,1.128595070300585,16.994328,0.719332
006,0000,task1,,,0.0,0.07281854789711938,0.03580318612082403,0.3323281,0.01355576999999998,99.59016393442623,18.010511497942375,27.167911165201332,436.42117300000007,12.912168,0.819672131147541,1.0117424115226337,1.5261603088066578,24.516006,0.725342
006,0000,task2,,,1.2295081967213115,0.10698982668971192,0.14127348759183472,1.91107925,0.02104339999999995,99.59016393442623,18.833763493827153,26.507365993247912,420.965729,13.983661999999999,2.459016393442623,0.9649165720164609,1.3580607540327279,21.567478,0.71643
006,0000,rest,,,0.3937007874015748,0.16544949022924907,0.10322257196434807,0.8920397999999999,0.016792900000000145,99.60629921259843,21.340948770750995,26.116864735509704,428.720428,14.305712,1.1811023622047243,1.0311941501976283,1.261966288509982,20.715760999999997,0.6912520000000001
031,0000,task1,,,0.819672131147541,0.10601439988888887,0.06728326399260691,0.7466954,0.013293526000000005,99.59016393442623,17.646800621399176,28.437109631365484,456.23074299999996,13.674564000000002,1.639344262295082,1.0449039382716052,1.6838207036449488,27.014376000000002,0.8096999999999999
031,0000,task2,,,0.0,0.0952275655037037,0.039089372489159946,0.25537995,0.011173951000000005,99.59016393442623,17.59324362962961,28.10209002393835,450.917908,13.571964999999999,1.639344262295082,1.0700784403292187,1.7092607811845937,27.426298,0.8254909999999999
